Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type
Panta Ilish,"soaked rice, hilsa fry, onion, chili, salt, mustard oil, water","1 cup leftover rice, 1 fried hilsa piece, 1/2 onion sliced, 1 green chili, salt to taste, 1 tsp mustard oil, water as needed","Soak leftover rice in water overnight. Drain slightly before serving. Top with sliced onion, chili, salt, and drizzle mustard oil. Traditionally served with fried fish or mashed veggies.",Bengali,Non-Vegetarian,Lunch
Taler Bora,"palm fruit pulp, flour, sugar, cardamom, oil","1 cup palm pulp, 1/2 cup flour, 1/4 cup sugar, 1/4 tsp cardamom powder, oil for frying","Mix palm pulp, flour, sugar, and cardamom into a thick batter. Heat oil and drop spoonfuls to deep fry until golden brown. Serve warm.",Bengali,Vegetarian,Snack
Chanar Dalna,"chana, potato, tomato, garam masala, ginger, oil, salt","200g chana (paneer), 1 potato, 1 tomato, 1/2 tsp garam masala, 1 tsp ginger paste, 1 tbsp oil, salt to taste","Cut chana into cubes. Fry lightly and set aside. Fry potatoes and tomatoes with ginger. Add water, salt, and bring to boil. Add chana and simmer 10 minutes. Sprinkle garam masala before serving.",Bengali,Vegetarian,Dinner
Kolar Kofta,"ripe banana, gram flour, spices, ghee, salt, oil","2 ripe bananas, 2 tbsp gram flour, 1/2 tsp spice mix, 1 tsp ghee, salt to taste, oil for frying","Mash bananas with gram flour, spices, and salt. Shape into balls and deep fry. For gravy, sauté spices in ghee, add water, and simmer koftas gently.",Bengali,Vegetarian,Lunch
Murir Moa,"puffed rice, jaggery, ghee, water","2 cups puffed rice, 1/2 cup jaggery, 1 tsp ghee, 2 tbsp water","Melt jaggery with water until sticky. Add ghee and mix in puffed rice. Shape quickly into balls while warm. Let cool and store airtight.",Bengali,Vegetarian,Snack
Payra Mangsho,"pigeon meat, onion, garlic, garam masala","Cook pigeon meat in spiced gravy.",Bengali,Non-Vegetarian,Dinner
Bonde,"besan, sugar, cardamom, ghee","Fry tiny sweet drops and soak in syrup.",Bengali,Vegetarian,Dessert
Langcha,"flour, khoya, sugar syrup, cardamom","Fry sweet rolls and soak in syrup.",Bengali,Vegetarian,Dessert
Sitabhog,"chhana, rice flour, sugar, saffron","Make sweet rice-like dessert with chhana.",Bengali,Vegetarian,Dessert
Aloo Jhinge Posto,"ridge gourd, potato, poppy seeds, mustard oil, green chili, salt","2 ridge gourds (jhinge), 2 medium potatoes, 3 tbsp poppy seed paste, 1 tbsp mustard oil, 1 green chili, salt to taste","Peel and cut jhinge and potatoes into small pieces. Heat mustard oil and sauté the vegetables for 5 minutes. Add poppy seed paste, green chili, and salt. Cook covered for 10–12 minutes until vegetables are tender and well coated.",Bengali,Vegetarian,Lunch
Begun Pora,"eggplant, mustard oil, garlic, green chili, salt","1 large eggplant, 1 tbsp mustard oil, 2 garlic cloves, 1 green chili, salt to taste","Roast eggplant over open flame until soft and charred. Cool, peel the skin, and mash the pulp with mustard oil, chopped garlic, green chili, and salt. Serve with rice.",Bengali,Vegan,Dinner
Bhetki Fry,"bhetki fillet, bread crumbs, egg, salt, black pepper, oil","4 bhetki fish fillets, 1 cup bread crumbs, 1 egg, salt to taste, 1/4 tsp black pepper, oil for frying","Marinate fish with salt and pepper. Beat the egg. Dip fish in egg, coat with bread crumbs. Deep fry in hot oil until golden brown. Serve hot with mustard sauce or kasundi.",Bengali,Non-Vegetarian,Snack
Chingri Cutlet,"prawn, potato, bread crumbs, egg, ginger, garlic, spices, oil","200g prawns, 1 boiled potato, 1/2 cup bread crumbs, 1 egg, 1 tsp ginger-garlic paste, 1/2 tsp garam masala, salt to taste, oil for frying","Boil and mash prawns with potato, spices, and ginger-garlic paste. Shape into oval cutlets. Dip in beaten egg, coat with bread crumbs, and fry until crispy and golden.",Bengali,Non-Vegetarian,Snack
Kacha Kolar Kofta,"raw banana, besan, ginger, spices, oil","2 raw bananas, 2 tbsp besan, 1 tsp ginger paste, 1/2 tsp garam masala, salt to taste, oil for frying","Boil and mash bananas. Mix with besan, ginger paste, salt, and garam masala. Shape into balls and fry. Optionally prepare a light curry and simmer koftas before serving.",Bengali,Vegetarian,Dinner
Payesh,"gobindobhog rice, milk, sugar, bay leaf, cardamom","1/4 cup gobindobhog rice, 1 liter full cream milk, 1/2 cup sugar, 1 bay leaf, 1/4 tsp cardamom powder","Wash and soak rice for 15 minutes. Boil milk with bay leaf and reduce slightly. Add rice and cook slowly until soft and creamy. Add sugar and cardamom powder. Stir and serve warm or chilled.",Bengali,Vegetarian,Dessert
Sheem Paturi,"flat beans, mustard paste, green chili, mustard oil, banana leaf, salt","200g flat beans (sliced), 2 tbsp mustard paste, 2 green chilies (slit), 1 tbsp mustard oil, banana leaf for wrapping, salt to taste","Mix sliced beans with mustard paste, chilies, salt, and mustard oil. Wrap the mixture in banana leaf parcels and steam or pan-cook covered for 15–20 minutes until tender and infused with flavor.",Bengali,Vegan,Lunch
Tetor Dal,"moong dal, bitter gourd, mustard seeds, turmeric, salt, mustard oil","1/2 cup moong dal, 1 small bitter gourd, 1/2 tsp mustard seeds, 1/4 tsp turmeric, salt to taste, 1 tbsp mustard oil","Dry roast and boil moong dal. Slice and fry bitter gourd in mustard oil. In same oil, splutter mustard seeds, add dal, turmeric, and salt. Simmer with fried gourds for 5 minutes before serving.",Bengali,Vegan,Lunch
Topshe Fry,"topshe fish, besan, rice flour, spices, salt, oil","6 topshe fish, 2 tbsp besan, 1 tbsp rice flour, 1/2 tsp turmeric, 1/2 tsp chili powder, salt to taste, oil for frying","Clean and pat dry the fish. Mix besan, rice flour, spices, and a bit of water into a thick batter. Coat fish and deep fry until golden and crisp. Serve hot.",Bengali,Non-Vegetarian,Snack
Mishti Doi,"milk, sugar, yogurt","1 liter full-fat milk, 1/2 cup sugar, 2 tbsp plain yogurt","Boil milk and reduce to 3/4th. Add caramelized sugar and cool until lukewarm. Stir in yogurt and pour into clay pots. Cover and let set in a warm place for 6–8 hours or overnight.",Bengali,Vegetarian,Dessert
Patishapta,"flour, rice flour, coconut, jaggery, milk, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1 cup milk, 1/2 tsp cardamom powder","Make batter with flour, rice flour, and milk. For filling, cook coconut, jaggery, and cardamom powder in a pan until mixed. Make thin crepes on a non-stick pan, fill with coconut mix, roll and serve warm or chilled.",Bengali,Vegetarian,Snack
Payesh,"gobindobhog rice, milk, sugar, bay leaf, cardamom","1/4 cup gobindobhog rice, 1 liter full cream milk, 1/2 cup sugar, 1 bay leaf, 1/4 tsp cardamom powder","Wash and soak rice for 15 minutes. Boil milk with bay leaf and reduce slightly. Add rice and cook slowly until soft and creamy. Add sugar and cardamom powder. Stir and serve warm or chilled.",Bengali,Vegetarian,Dessert
Langcha,"flour, khoya, sugar syrup, cardamom","Fry sweet rolls and soak in syrup.",Bengali,Vegetarian,Dessert
Sitabhog,"chhana, rice flour, sugar, saffron","Make sweet rice-like dessert with chhana.",Bengali,Vegetarian,Dessert
Baked Cheesecake,"cream cheese, sugar, eggs, biscuit base","400g cream cheese, 1 cup sugar, 3 eggs, 1 packet biscuit base","Mix cream cheese and sugar until smooth. Beat in eggs one by one. Pour onto biscuit base and bake at 160°C for 50 minutes. Cool and refrigerate for 4 hours before serving.",Western,Vegetarian,Dessert
Chocolate Mousse,"dark chocolate, eggs, cream, sugar","200g dark chocolate, 4 eggs, 1 cup heavy cream, 1/4 cup sugar","Melt chocolate and let it cool. Whisk eggs with sugar, then mix with melted chocolate. Whip cream and fold into the chocolate mixture. Chill for 3 hours before serving.",Western,Vegetarian,Dessert
Tiramisu,"ladyfingers, mascarpone cheese, espresso, cocoa powder, sugar, eggs","1 pack ladyfingers, 500g mascarpone cheese, 1 cup espresso, 2 tbsp cocoa powder, 1/4 cup sugar, 2 eggs","Dip ladyfingers in espresso and layer in a dish. Mix mascarpone with sugar and eggs, then spread over the ladyfingers. Repeat the layers and dust with cocoa powder. Refrigerate for 6 hours.",Italian,Vegetarian,Dessert
Carrot Cake,"flour, carrots, sugar, eggs, butter, cream cheese, walnuts","1 cup flour, 2 cups grated carrots, 1 cup sugar, 2 eggs, 1/2 cup butter, 1/2 cup cream cheese, 1/4 cup walnuts","Mix all ingredients to form a batter. Bake at 180°C for 40 minutes. Cool and frost with cream cheese frosting and chopped walnuts.",Western,Vegetarian,Dessert
Apple Pie,"apples, sugar, flour, butter, cinnamon","5 apples, 1 cup sugar, 2 cups flour, 1/2 cup butter, 1 tsp cinnamon","Slice apples and mix with sugar and cinnamon. Make dough with flour and butter, then roll out and place in a pie dish. Add apple mixture, top with dough, and bake at 200°C for 45 minutes.",Western,Vegetarian,Dessert
Rava Sheera,"semolina, sugar, ghee, cashews, cardamom","1 cup semolina, 1 cup sugar, 1/2 cup ghee, 10 cashews, 1/2 tsp cardamom","Roast semolina in ghee until golden. Add sugar and water, stir to form a smooth mixture. Garnish with cashews and cardamom, then serve warm.",Indian,Vegetarian,Dessert
Gulab Jamun,"milk powder, flour, baking soda, sugar, ghee, cardamom","1 cup milk powder, 1/4 cup flour, 1/4 tsp baking soda, 1/2 cup sugar, 1/4 cup ghee, 2 cardamom pods","Make dough with milk powder, flour, baking soda, and ghee. Shape into small balls and deep fry. Soak in sugar syrup with cardamom for 30 minutes before serving.",Indian,Vegetarian,Dessert
Kheer,"rice, milk, sugar, cardamom, almonds","1/4 cup rice, 2 cups milk, 1/4 cup sugar, 1/4 tsp cardamom, 10 almonds","Boil rice in milk, then add sugar and cardamom. Simmer until thickened, garnish with almonds, and serve hot or chilled.",Indian,Vegetarian,Dessert
Ras Malai,"chana, milk, sugar, cardamom, saffron","200g chana, 1 liter milk, 1/2 cup sugar, 2 cardamom pods, saffron strands","Boil milk and reduce by half. Add sugar, cardamom, and saffron. Soak chana in the syrup for 15 minutes and serve chilled.",Indian,Vegetarian,Dessert
Shemai,"vermicelli, sugar, ghee, cardamom, milk","1 cup vermicelli, 1/2 cup sugar, 2 tbsp ghee, 1/2 tsp cardamom, 2 cups milk","Fry vermicelli in ghee until golden. Add milk and sugar, and cook until soft. Add cardamom and serve warm.",Indian,Vegetarian,Dessert
Kulfi,"milk, sugar, cardamom, pistachio, saffron","2 cups milk, 1/2 cup sugar, 1/4 tsp cardamom, 1/4 cup pistachio, saffron strands","Boil milk until reduced by half. Add sugar, cardamom, pistachio, and saffron. Pour into molds and freeze for 6 hours.",Indian,Vegetarian,Dessert
Pavlova,"egg whites, sugar, cornstarch, vinegar, fruits","4 egg whites, 1 cup sugar, 1 tbsp cornstarch, 1 tsp vinegar, mixed fruits for topping","Whisk egg whites with sugar until stiff. Fold in cornstarch and vinegar. Bake at 120°C for 1 hour. Top with whipped cream and fresh fruits.",Western,Vegetarian,Dessert
Banoffee Pie,"bananas, toffee, whipped cream, biscuit base","2 bananas, 1/2 cup toffee, 1 cup whipped cream, 1 packet biscuit base","Make base with crushed biscuits and butter. Layer with toffee, sliced bananas, and whipped cream. Chill for 2 hours before serving.",Western,Vegetarian,Dessert
Chocolate Cake,"flour, cocoa powder, sugar, eggs, butter, milk","2 cups flour, 1/2 cup cocoa powder, 1 cup sugar, 2 eggs, 1/2 cup butter, 1/2 cup milk","Mix all ingredients to make a batter. Bake at 180°C for 30 minutes. Frost with chocolate icing and serve.",Western,Vegetarian,Dessert
Choco Lava Cake,"chocolate, butter, flour, sugar, eggs, vanilla","200g dark chocolate, 1/2 cup butter, 1/2 cup flour, 1/4 cup sugar, 2 eggs, 1 tsp vanilla","Melt chocolate and butter together. Mix with eggs, sugar, and flour. Pour into ramekins, add a piece of chocolate in the center, and bake at 200°C for 10–12 minutes. Serve warm.",Western,Vegetarian,Dessert
Crème Brûlée,"cream, sugar, eggs, vanilla","2 cups heavy cream, 1/2 cup sugar, 4 egg yolks, 1 tsp vanilla","Heat cream with sugar until warm. Whisk egg yolks, then combine with warm cream. Pour into ramekins and bake at 160°C for 40 minutes. Cool and sprinkle sugar on top. Caramelize the sugar with a torch.",Western,Vegetarian,Dessert
Strawberry Shortcake,"flour, sugar, butter, cream, strawberries","1 cup flour, 1/4 cup sugar, 1/2 cup butter, 1 cup cream, 1 cup strawberries","Make dough with flour, sugar, and butter. Bake at 180°C for 15 minutes. Whip cream and slice strawberries. Layer shortcakes with cream and strawberries.",Western,Vegetarian,Dessert
Lemon Meringue Pie,"lemon, sugar, eggs, butter, pie crust","1 lemon, 1/2 cup sugar, 3 eggs, 1/4 cup butter, 1 pie crust","Make lemon curd with lemon juice, sugar, eggs, and butter. Pour into pie crust and bake at 160°C for 25 minutes. Top with meringue and bake for an additional 10 minutes.",Western,Vegetarian,Dessert
Omelette,"egg, salt, onion","2 eggs, 1/4 tsp salt, 1 small onion (chopped)","Whisk eggs with salt. Pour into a hot, greased pan. Add chopped onions and cook until set. Flip and cook the other side for 1-2 minutes.",Western,Vegetarian,Breakfast
Aloo Vorta,"potato, chili, oil","2 medium potatoes, 2 green chilies, 1 tbsp oil","Boil potatoes and mash them. Heat oil in a pan, fry chopped chilies, and add mashed potatoes. Mix well and serve.",Bengali,Vegetarian,Lunch
Chicken Curry,"chicken, onion, chili, oil","500g chicken, 1 onion (chopped), 2 green chilies, 2 tbsp oil","Fry chopped onion and chilies in oil until golden. Add chicken and cook until browned. Add water and simmer until chicken is cooked through.",Indian,Non-Vegetarian,Dinner
Sandwich,"bread, butter, chicken","2 slices bread, 2 tbsp butter, 1 cooked chicken breast (shredded)","Spread butter on bread slices. Place shredded chicken between the slices and toast until golden.",Western,Non-Vegetarian,Sandwich
Boiled Egg,"egg, water, salt","2 eggs, water for boiling, 1/4 tsp salt","Place eggs in water and bring to a boil. Reduce heat and simmer for 8-10 minutes. Peel and sprinkle with salt before serving.",Western,Vegetarian,Snack
Potato Fry,"potato, salt, oil","3 medium potatoes, 1/2 tsp salt, 2 tbsp oil","Cut potatoes into thin slices. Heat oil in a pan and fry potatoes until crispy. Sprinkle with salt and serve.",Indian,Vegetarian,Lunch
Vegetable Soup,"carrot, onion, salt, water","1 carrot, 1 onion, 1/2 tsp salt, 2 cups water","Chop carrot and onion, boil them in water with salt. Simmer for 15 minutes until vegetables are soft. Blend if desired.",Western,Vegetarian,Snack
Chili Garlic Noodles,"noodles, garlic, chili, oil","1 packet noodles, 4 garlic cloves, 2 green chilies, 1 tbsp oil","Cook noodles as per packet instructions. In a pan, heat oil, sauté garlic and chilies, then toss in cooked noodles. Stir well and serve.",Chinese,Vegetarian,Lunch
Rice Pudding,"rice, milk, sugar","1/4 cup rice, 2 cups milk, 1/4 cup sugar","Cook rice in milk and sugar until it thickens. Stir occasionally. Let it cool before serving.",Western,Vegetarian,Dessert
Masala Papad,"papad, chili, oil","2 papads, 2 green chilies, 1 tbsp oil","Roast papads in the microwave or over an open flame. Top with chopped chilies and drizzle with oil.",Indian,Vegetarian,Summer Snack
Fried Rice,"rice, vegetable, soy sauce","1 cup cooked rice, 1/2 cup mixed vegetables, 1 tbsp soy sauce","Heat oil in a pan, add vegetables and stir-fry. Add cooked rice and soy sauce. Stir until combined and serve.",Chinese,Vegan,Lunch
French Toast,"bread, egg, sugar, butter","2 slices bread, 1 egg, 1 tbsp sugar, 1 tbsp butter","Whisk egg and sugar together. Dip bread slices into the egg mixture and cook in butter until golden on both sides.",Western,Vegetarian,Breakfast
Potato Salad,"potato, salt, oil","3 medium potatoes, 1/4 tsp salt, 1 tbsp oil","Boil and chop potatoes. Toss with salt and a little oil. Chill for a refreshing salad.",Western,Vegetarian,Snack
Chapati,"flour, water, salt","1 cup flour, 1/4 tsp salt, 1/2 cup water","Knead flour, salt, and water into a dough. Roll into thin discs and cook on a hot tawa until golden brown.",Indian,Vegetarian,Lunch
Tomato Soup,"tomato, garlic, salt, water","2 tomatoes, 3 garlic cloves, 1/2 tsp salt, 2 cups water","Blend tomatoes and garlic into a puree. Boil in water with salt for 10-15 minutes. Serve hot.",Western,Vegan,Soup
Cheese Toast,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter the bread slices. Place cheese between them and toast until golden.",Western,Vegetarian,Sandwich
Fruit Salad,"apple, banana, grapes, sugar","1 apple, 1 banana, 1/2 cup grapes, 1 tbsp sugar","Chop fruits and mix in a bowl. Add sugar and stir. Serve chilled.",Western,Vegetarian,Snack
Kachori,"flour, salt, oil","1 cup flour, 1/4 tsp salt, 1 tbsp oil","Make dough with flour, salt, and water. Roll into discs, fill with a little spice mix, fold and deep fry until golden.",Indian,Vegetarian,Snack
Vermicelli Pudding,"vermicelli, milk, sugar, cardamom","1/2 cup vermicelli, 1 cup milk, 1/4 cup sugar, 1/4 tsp cardamom","Roast vermicelli in a little oil. Add milk, sugar, and cardamom. Simmer until thickened and serve warm.",Indian,Vegetarian,Dessert
Boiled Corn,"corn, salt, butter","1 corn cob, 1/2 tsp salt, 1 tbsp butter","Boil corn for 10-12 minutes, then brush with butter and sprinkle with salt.",Western,Vegetarian,Snack
Cucumber Salad,"cucumber, salt, lemon, sugar","1 cucumber, 1/2 tsp salt, 1 tbsp lemon juice, 1/2 tsp sugar","Slice cucumber and toss with salt, lemon juice, and sugar. Chill before serving.",Western,Vegan,Snack
Pasta Salad,"pasta, cucumber, tomato, olive oil, salt","1 cup pasta, 1/2 cucumber, 1 tomato, 1 tbsp olive oil, 1/4 tsp salt","Cook pasta and let it cool. Chop cucumber and tomato. Toss everything with olive oil and salt.",Italian,Vegetarian,Snack
Scrambled Eggs,"egg, salt, butter","2 eggs, 1/4 tsp salt, 1 tbsp butter","Whisk eggs with salt. Heat butter in a pan, pour in eggs, and stir continuously until cooked.",Western,Vegetarian,Breakfast
Chana Chaat,"chickpeas, onion, tomato, chili, lemon","1 cup chickpeas, 1 onion, 1 tomato, 2 green chilies, 1 tbsp lemon juice","Boil chickpeas and mix with chopped onion, tomato, chilies, and lemon juice. Serve chilled.",Indian,Vegetarian,Snack
Boiled Potatoes,"potato, salt, oil","3 medium potatoes, 1/2 tsp salt, 1 tbsp oil","Boil potatoes, peel and slice. Heat oil in a pan, fry potato slices and sprinkle salt. Serve hot.",Indian,Vegetarian,Lunch
Garlic Bread,"bread, garlic, butter, parsley","2 slices bread, 2 garlic cloves, 1 tbsp butter, 1/2 tsp parsley","Toast the bread. Melt butter, mix in garlic and parsley, and spread on the bread. Serve warm.",Western,Vegetarian,Snack
Instant Poha,"flattened rice, onion, mustard seeds, peas, oil, turmeric","1 cup poha, 1 onion, 1/2 tsp mustard seeds, 1/4 cup peas, 1 tbsp oil, 1/2 tsp turmeric","Heat oil in a pan, add mustard seeds and turmeric, then sauté onions and peas. Add poha, stir, and serve warm.",Indian,Vegetarian,Breakfast
Microwave Mug Cake,"flour, sugar, baking powder, cocoa powder, milk, butter","1/4 cup flour, 2 tbsp sugar, 1/4 tsp baking powder, 1 tbsp cocoa powder, 2 tbsp milk, 1 tbsp butter","Mix ingredients in a mug and microwave for 1 minute. Enjoy your single-serve cake.",Western,Vegetarian,Dessert
Quick Roti,"flour, water, salt","1 cup flour, 1/4 tsp salt, water as needed","Knead flour, salt, and water into soft dough. Roll out dough into thin circles and cook on a hot tawa for 1 minute on each side.",Indian,Vegetarian,Lunch
Boiled Masala Egg,"egg, salt, chili powder, oil","2 eggs, 1/2 tsp salt, 1/2 tsp chili powder, 1 tbsp oil","Boil eggs for 10 minutes. Peel and cut in half. Heat oil, sprinkle chili powder and salt, and sauté the boiled eggs for 2 minutes.",Indian,Vegetarian,Snack
Microwave Oats,"oats, milk, sugar, cinnamon","1/2 cup oats, 1 cup milk, 1 tbsp sugar, 1/4 tsp cinnamon","Mix all ingredients in a microwave-safe bowl and microwave for 2 minutes. Stir and serve warm.",Western,Vegetarian,Breakfast
Quick Vegetable Pulao,"rice, mixed vegetables, oil, salt, garam masala","1 cup rice, 1/2 cup mixed vegetables, 1 tbsp oil, 1/2 tsp garam masala, salt to taste","Heat oil in a pan, add vegetables and sauté. Add rice, garam masala, salt, and water. Cook for 10-12 minutes until rice is done.",Indian,Vegetarian,Lunch
Instant Dosa,"rice flour, water, salt, oil","1 cup rice flour, 1/2 cup water, 1/4 tsp salt, 1 tbsp oil","Mix rice flour, water, and salt into a smooth batter. Heat a non-stick pan, spread the batter, and cook for 2 minutes on each side.",Indian,Vegetarian,Breakfast
Bread Pakora,"bread, potato, chickpea flour, salt, chili, oil","2 slices bread, 1 potato, 1/4 cup chickpea flour, 1/4 tsp salt, 1/2 tsp chili powder, oil for frying","Boil and mash potato, mix with salt and chili. Place filling between bread slices, dip in chickpea flour batter, and fry in oil for 2 minutes.",Indian,Vegetarian,Snack
Microwave Paneer Tikka,"paneer, yogurt, chili powder, turmeric, garam masala","200g paneer, 2 tbsp yogurt, 1/2 tsp chili powder, 1/4 tsp turmeric, 1/2 tsp garam masala","Mix yogurt and spices, coat paneer with the mixture, and microwave for 2-3 minutes until slightly golden.",Indian,Vegetarian,Supper
Vegetable Salad,"cucumber, tomato, onion, lemon, salt","1 cucumber, 1 tomato, 1 onion, 1/2 lemon, salt to taste","Chop vegetables, toss together, squeeze lemon juice, sprinkle salt, and serve immediately.",Western,Vegan,Snack
Egg Bhurji,"egg, onion, tomato, chili, salt, oil","2 eggs, 1 onion, 1 tomato, 1 chili, 1/2 tsp salt, 1 tbsp oil","Heat oil, sauté onions, tomatoes, and chilies. Add beaten eggs and scramble until cooked. Serve hot.",Indian,Vegetarian,Lunch
Mango Lassi,"mango, yogurt, sugar","1 ripe mango, 1 cup yogurt, 1 tbsp sugar","Blend mango pulp with yogurt and sugar until smooth. Serve chilled.",Indian,Vegetarian,Drink
Pasta in Creamy Sauce,"pasta, cream, cheese, garlic, salt, pepper","1 cup pasta, 1/4 cup cream, 1/2 cup cheese, 2 garlic cloves, salt and pepper to taste","Cook pasta as per instructions. In a pan, heat cream and sauté garlic. Add pasta, cheese, salt, and pepper. Toss and serve.",Western,Vegetarian,Dinner
Grilled Cheese Sandwich,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter the bread, place cheese slices between, and grill on both sides until golden brown.",Western,Vegetarian,Sandwich
Potato Wedges,"potato, olive oil, salt, pepper","2 medium potatoes, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp pepper","Cut potatoes into wedges, toss with olive oil, salt, and pepper. Bake at 200°C for 20 minutes until crispy.",Western,Vegetarian,Snack
Microwave Pizza,"bread, cheese, tomato, herbs","2 slices bread, 1/2 cup cheese, 2 tbsp tomato sauce, oregano","Spread tomato sauce on bread, top with cheese and herbs, and microwave for 1-2 minutes until cheese melts.",Western,Vegetarian,Supper
Chana Chaat,"chickpeas, onion, tomato, lemon, chili","1 cup boiled chickpeas, 1 onion, 1 tomato, 2 green chilies, 1 tbsp lemon juice","Chop onion, tomato, and chilies. Mix with boiled chickpeas and lemon juice. Serve chilled.",Indian,Vegetarian,Snack
Vegetable Stir-Fry,"carrot, cabbage, soy sauce, oil","1 carrot, 1/2 cup cabbage, 1 tbsp soy sauce, 1 tbsp oil","Heat oil, sauté vegetables, add soy sauce, stir-fry for 5 minutes, and serve hot.",Chinese,Vegan,Lunch
Fried Rice,"rice, soy sauce, vegetables, egg","1 cup rice, 1 tbsp soy sauce, 1/2 cup mixed vegetables, 1 egg","Heat oil, stir-fry vegetables, add cooked rice, soy sauce, and a scrambled egg. Mix well and serve.",Chinese,Vegetarian,Lunch
Egg Salad,"egg, mayo, mustard, salt, pepper","2 boiled eggs, 2 tbsp mayo, 1 tsp mustard, salt and pepper to taste","Chop boiled eggs, mix with mayo, mustard, salt, and pepper. Serve cold.",Western,Vegetarian,Snack
French Toast,"bread, egg, sugar, butter","2 slices bread, 1 egg, 1 tbsp sugar, 1 tbsp butter","Whisk egg and sugar together. Dip bread slices into the egg mixture and cook in butter until golden on both sides.",Western,Vegetarian,Breakfast
Simple Tomato Soup,"tomato, garlic, water, salt, oil","3 tomatoes, 3 garlic cloves, 2 cups water, 1/2 tsp salt, 1 tbsp oil","Boil tomatoes and garlic in water. Blend into a smooth soup and season with salt. Heat oil and pour the soup. Serve hot.",Western,Vegan,Soup
Microwave Pancakes,"flour, milk, sugar, baking powder","1/2 cup flour, 1/4 cup milk, 2 tbsp sugar, 1/2 tsp baking powder","Mix all ingredients into a batter, pour into a microwave-safe bowl, and microwave for 2-3 minutes. Serve with syrup.",Western,Vegetarian,Breakfast
Aloo Posto,"potato, poppy seeds, mustard oil, salt","3 medium potatoes, 2 tbsp poppy seeds, 2 tbsp mustard oil, salt to taste","Boil and mash potatoes. Grind poppy seeds into a paste. Heat mustard oil, add poppy seed paste and mashed potatoes. Cook for 5 minutes and serve.",Bengali,Vegetarian,Lunch
Aloo Bhaja,"potato, turmeric, salt, mustard oil","2 medium potatoes, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Slice potatoes into thin rounds. Heat mustard oil, add turmeric and fry the potato slices until golden brown. Sprinkle with salt and serve.",Bengali,Vegetarian,Lunch
Panta Bhat,"leftover rice, green chili, mustard oil, salt","1 cup leftover rice, 2 green chilies, 1 tbsp mustard oil, salt to taste","Soak leftover rice in water overnight. Serve with chopped green chili, mustard oil, and a pinch of salt.",Bengali,Vegan,Breakfast
Macher Bhorta,"fish, mustard oil, salt, green chili","2 pieces small fish, 2 tbsp mustard oil, salt to taste, 1 green chili","Grill or fry fish, mash with green chili, salt, and mustard oil. Serve with rice.",Bengali,Non-Vegetarian,Lunch
Dhokar Dalna,"chana dal, tomato, turmeric, garam masala, oil","1 cup chana dal, 1 tomato, 1/2 tsp turmeric, 1/2 tsp garam masala, 2 tbsp oil","Soak and grind chana dal into a paste. Fry into small cakes and cook in spiced tomato gravy. Serve hot.",Bengali,Vegetarian,Lunch
Shorshe Bata Maach,"fish, mustard paste, turmeric, salt, mustard oil","4 pieces of fish, 2 tbsp mustard paste, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Marinate fish with turmeric and salt. Fry lightly in mustard oil, then cook with mustard paste until the gravy thickens. Serve with rice.",Bengali,Non-Vegetarian,Lunch
Lentil Vorta,"lentil, salt, mustard oil, green chili","1 cup lentil, salt to taste, 2 tbsp mustard oil, 2 green chilies","Boil lentils and mash them with green chilies, salt, and mustard oil. Serve as a side dish with rice.",Bengali,Vegetarian,Lunch
Bengali Aloo Dum,"potato, onion, turmeric, garam masala, mustard oil","3 medium potatoes, 1 onion, 1/2 tsp turmeric, 1/2 tsp garam masala, 2 tbsp mustard oil","Peel and boil potatoes. Fry onions in mustard oil, add turmeric and garam masala. Cook the potatoes in the mixture for 5 minutes. Serve hot.",Bengali,Vegetarian,Lunch
Chingri Malai Curry,"prawn, coconut milk, turmeric, salt, mustard oil","200g prawns, 1 cup coconut milk, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Fry prawns lightly in mustard oil, add coconut milk, turmeric, and salt. Cook for 5 minutes and serve with rice.",Bengali,Non-Vegetarian,Dinner
Patisapta,"flour, rice flour, coconut, jaggery, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1/4 tsp cardamom","Make a batter of flour and rice flour. Cook coconut and jaggery into a thick filling. Stuff the crepes with the filling and serve.",Bengali,Vegetarian,Dessert
Moong Dal Bhaja,"moong dal, green chili, salt, mustard oil","1 cup moong dal, 2 green chilies, salt to taste, 2 tbsp mustard oil","Soak moong dal, then fry it in mustard oil until golden brown. Add green chilies and salt and serve hot.",Bengali,Vegetarian,Snack
Chingri Bhorta,"prawn, mustard oil, salt, green chili","200g prawns, 2 tbsp mustard oil, salt to taste, 2 green chilies","Boil and mash prawns with green chilies, salt, and mustard oil. Serve as a side dish with rice.",Bengali,Non-Vegetarian,Lunch
