Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type,Cleaned_Ingredients
Kumro Chechki,"pumpkin, green chili, mustard seeds, mustard oil, salt","2 cups grated or finely chopped pumpkin, 2 green chilies, 1/2 tsp mustard seeds, 1 tbsp mustard oil, salt to taste","Heat mustard oil, splutter mustard seeds. Add pumpkin and chilies, stir well. Add salt and cook covered on low heat until soft. Serve warm with rice.",bengali,vegan,lunch,pumpkin green_chili mustard_seed mustard_oil salt
Chingri Bhapa,"prawn, mustard paste, coconut, mustard oil, green chili, salt","300g prawns, 2 tbsp mustard paste, 2 tbsp grated coconut, 2 tbsp mustard oil, 2 green chilies, salt to taste","Mix prawns with mustard paste, coconut, mustard oil, salt, and slit green chilies. Place in a steel container or banana leaf and steam for 15–20 minutes until prawns are tender.",bengali,non-vegetarian,lunch,prawn mustard_paste coconut mustard_oil green_chili salt
Gorom Bhaat O Ghee,"rice, ghee, salt","1 cup cooked rice, 1 tsp ghee, salt to taste",Serve hot steamed rice topped with a spoon of ghee and a pinch of salt. Enjoy as a simple comfort meal.,bengali,vegetarian,lunch,rice ghee salt
Basanti Pulao,"gobindobhog rice, ghee, raisins, cashew, turmeric, sugar, bay leaf","1 cup gobindobhog rice, 2 tbsp ghee, 2 tbsp raisins, 2 tbsp cashew nuts, 1/4 tsp turmeric, 1 tbsp sugar, 1 bay leaf","Wash rice and soak 20 mins. Heat ghee, sauté bay leaf, cashew, and raisins. Add rice, turmeric, and sugar. Fry for 2 minutes, then add water (2 cups) and cook covered on low heat until rice is done.",bengali,vegetarian,dinner,gobindobhog_rice ghee raisin cashew turmeric sugar bay_leaf
Enchorer Dalna,"raw jackfruit, potato, bay leaf, garam masala, ginger, turmeric, oil, salt","2 cups raw jackfruit (cubed), 1 potato, 1 bay leaf, 1 tsp garam masala, 1 tsp ginger paste, 1/2 tsp turmeric, 2 tbsp oil, salt to taste","Boil jackfruit cubes until soft. In oil, fry bay leaf, add potatoes and ginger paste. Add jackfruit, turmeric, salt. Cook for 5 mins, add water. Simmer covered. Sprinkle garam masala at the end.",bengali,vegetarian,lunch,raw_jackfruit potato bay_leaf garam_masala ginger turmeric oil salt
Pabda Jhol,"pabda fish, nigella seeds, green chili, mustard oil, turmeric, salt","4 pabda fish, 1/2 tsp nigella seeds, 2 green chilies, 2 tbsp mustard oil, 1/2 tsp turmeric, salt to taste","Rub fish with salt and turmeric, lightly fry in mustard oil. In same oil, add nigella seeds and green chili. Add water to form a light gravy. Add fish and simmer 10 minutes.",bengali,non-vegetarian,lunch,pabda_fish nigella_seed green_chili mustard_oil turmeric salt
Ilish Bhapa,"hilsa, mustard paste, green chili, yogurt, mustard oil, salt","4 pieces hilsa, 2 tbsp mustard paste, 2 green chilies, 2 tbsp yogurt, 1 tbsp mustard oil, salt to taste","Mix mustard paste, yogurt, salt, oil, and green chili. Coat hilsa pieces and place in a covered steel container or banana leaf wrap. Steam for 15–20 minutes.",bengali,non-vegetarian,lunch,hilsa mustard_paste green_chili yogurt mustard_oil salt
Postor Bora,"poppy seeds, green chili, salt, mustard oil, rice flour","4 tbsp poppy seeds, 1 green chili, salt to taste, 1 tsp rice flour, mustard oil for frying",Grind poppy seeds and chili into a coarse paste. Add salt and a little rice flour for binding. Shape small fritters and shallow fry in mustard oil until crispy.,bengali,vegetarian,snack,poppy_seed green_chili salt mustard_oil rice_flour
Panta Ilish,"soaked rice, hilsa fry, onion, chili, salt, mustard oil, water","1 cup leftover rice, 1 fried hilsa piece, 1/2 onion sliced, 1 green chili, salt to taste, 1 tsp mustard oil, water as needed","Soak leftover rice in water overnight. Drain slightly before serving. Top with sliced onion, chili, salt, and drizzle mustard oil. Traditionally served with fried fish or mashed veggies.",bengali,non-vegetarian,lunch,soak_rice hilsa_fry onion chili pepper salt mustard_oil water
Taler Bora,"palm fruit pulp, flour, sugar, cardamom, oil","1 cup palm pulp, 1/2 cup flour, 1/4 cup sugar, 1/4 tsp cardamom powder, oil for frying","Mix palm pulp, flour, sugar, and cardamom into a thick batter. Heat oil and drop spoonfuls to deep fry until golden brown. Serve warm.",bengali,vegetarian,snack,palm_fruit_pulp flour sugar cardamom oil
Chanar Dalna,"chana, potato, tomato, garam masala, ginger, oil, salt","200g chana (paneer), 1 potato, 1 tomato, 1/2 tsp garam masala, 1 tsp ginger paste, 1 tbsp oil, salt to taste","Cut chana into cubes. Fry lightly and set aside. Fry potatoes and tomatoes with ginger. Add water, salt, and bring to boil. Add chana and simmer 10 minutes. Sprinkle garam masala before serving.",bengali,vegetarian,dinner,chana potato tomato garam_masala ginger oil salt
Kolar Kofta,"ripe banana, gram flour, spices, ghee, salt, oil","2 ripe bananas, 2 tbsp gram flour, 1/2 tsp spice mix, 1 tsp ghee, salt to taste, oil for frying","Mash bananas with gram flour, spices, and salt. Shape into balls and deep fry. For gravy, sauté spices in ghee, add water, and simmer koftas gently.",bengali,vegetarian,lunch,ripe_banana gram_flour spice ghee salt oil
Murir Moa,"puffed rice, jaggery, ghee, water","2 cups puffed rice, 1/2 cup jaggery, 1 tsp ghee, 2 tbsp water",Melt jaggery with water until sticky. Add ghee and mix in puffed rice. Shape quickly into balls while warm. Let cool and store airtight.,bengali,vegetarian,snack,puff_rice jaggery ghee water
Payra Mangsho,"pigeon meat, onion, garlic, garam masala",Cook pigeon meat in spiced gravy.,Bengali,non-vegetarian,dinner,nan,pigeon_meat onion garlic garam_masala
Bonde,"besan, sugar, cardamom, ghee",Fry tiny sweet drops and soak in syrup.,Bengali,vegetarian,dessert,nan,besan sugar cardamom ghee
Langcha,"flour, khoya, sugar syrup, cardamom",Fry sweet rolls and soak in syrup.,Bengali,vegetarian,dessert,nan,flour khoya sugar_syrup cardamom
Sitabhog,"chhana, rice flour, sugar, saffron",Make sweet rice-like dessert with chhana.,Bengali,vegetarian,dessert,nan,chhana rice_flour sugar saffron
Aloo Jhinge Posto,"ridge gourd, potato, poppy seeds, mustard oil, green chili, salt","2 ridge gourds (jhinge), 2 medium potatoes, 3 tbsp poppy seed paste, 1 tbsp mustard oil, 1 green chili, salt to taste","Peel and cut jhinge and potatoes into small pieces. Heat mustard oil and sauté the vegetables for 5 minutes. Add poppy seed paste, green chili, and salt. Cook covered for 10–12 minutes until vegetables are tender and well coated.",bengali,vegetarian,lunch,ridge_gourd potato poppy_seed mustard_oil green_chili salt
Begun Pora,"eggplant, mustard oil, garlic, green chili, salt","1 large eggplant, 1 tbsp mustard oil, 2 garlic cloves, 1 green chili, salt to taste","Roast eggplant over open flame until soft and charred. Cool, peel the skin, and mash the pulp with mustard oil, chopped garlic, green chili, and salt. Serve with rice.",bengali,vegan,dinner,eggplant mustard_oil garlic green_chili salt
Bhetki Fry,"bhetki fillet, bread crumbs, egg, salt, black pepper, oil","4 bhetki fish fillets, 1 cup bread crumbs, 1 egg, salt to taste, 1/4 tsp black pepper, oil for frying","Marinate fish with salt and pepper. Beat the egg. Dip fish in egg, coat with bread crumbs. Deep fry in hot oil until golden brown. Serve hot with mustard sauce or kasundi.",bengali,non-vegetarian,snack,bhetki_fillet bread_crumb egg salt black_pepper oil
Chingri Cutlet,"prawn, potato, bread crumbs, egg, ginger, garlic, spices, oil","200g prawns, 1 boiled potato, 1/2 cup bread crumbs, 1 egg, 1 tsp ginger-garlic paste, 1/2 tsp garam masala, salt to taste, oil for frying","Boil and mash prawns with potato, spices, and ginger-garlic paste. Shape into oval cutlets. Dip in beaten egg, coat with bread crumbs, and fry until crispy and golden.",bengali,non-vegetarian,snack,prawn potato bread_crumb egg ginger garlic spice oil
Kacha Kolar Kofta,"raw banana, besan, ginger, spices, oil","2 raw bananas, 2 tbsp besan, 1 tsp ginger paste, 1/2 tsp garam masala, salt to taste, oil for frying","Boil and mash bananas. Mix with besan, ginger paste, salt, and garam masala. Shape into balls and fry. Optionally prepare a light curry and simmer koftas before serving.",bengali,vegetarian,dinner,raw_banana besan ginger spice oil
Payesh,"gobindobhog rice, milk, sugar, bay leaf, cardamom","1/4 cup gobindobhog rice, 1 liter full cream milk, 1/2 cup sugar, 1 bay leaf, 1/4 tsp cardamom powder",Wash and soak rice for 15 minutes. Boil milk with bay leaf and reduce slightly. Add rice and cook slowly until soft and creamy. Add sugar and cardamom powder. Stir and serve warm or chilled.,bengali,vegetarian,dessert,gobindobhog_rice milk sugar bay_leaf cardamom
Sheem Paturi,"flat beans, mustard paste, green chili, mustard oil, banana leaf, salt","200g flat beans (sliced), 2 tbsp mustard paste, 2 green chilies (slit), 1 tbsp mustard oil, banana leaf for wrapping, salt to taste","Mix sliced beans with mustard paste, chilies, salt, and mustard oil. Wrap the mixture in banana leaf parcels and steam or pan-cook covered for 15–20 minutes until tender and infused with flavor.",bengali,vegan,lunch,flat_bean mustard_paste green_chili mustard_oil banana_leaf salt
Tetor Dal,"moong dal, bitter gourd, mustard seeds, turmeric, salt, mustard oil","1/2 cup moong dal, 1 small bitter gourd, 1/2 tsp mustard seeds, 1/4 tsp turmeric, salt to taste, 1 tbsp mustard oil","Dry roast and boil moong dal. Slice and fry bitter gourd in mustard oil. In same oil, splutter mustard seeds, add dal, turmeric, and salt. Simmer with fried gourds for 5 minutes before serving.",bengali,vegan,lunch,moong_dal bitter_gourd mustard_seed turmeric salt mustard_oil
Topshe Fry,"topshe fish, besan, rice flour, spices, salt, oil","6 topshe fish, 2 tbsp besan, 1 tbsp rice flour, 1/2 tsp turmeric, 1/2 tsp chili powder, salt to taste, oil for frying","Clean and pat dry the fish. Mix besan, rice flour, spices, and a bit of water into a thick batter. Coat fish and deep fry until golden and crisp. Serve hot.",bengali,non-vegetarian,snack,topshe_fish besan rice_flour spice salt oil
Mishti Doi,"milk, sugar, yogurt","1 liter full-fat milk, 1/2 cup sugar, 2 tbsp plain yogurt",Boil milk and reduce to 3/4th. Add caramelized sugar and cool until lukewarm. Stir in yogurt and pour into clay pots. Cover and let set in a warm place for 6–8 hours or overnight.,bengali,vegetarian,dessert,milk sugar yogurt
Patishapta,"flour, rice flour, coconut, jaggery, milk, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1 cup milk, 1/2 tsp cardamom powder","Make batter with flour, rice flour, and milk. For filling, cook coconut, jaggery, and cardamom powder in a pan until mixed. Make thin crepes on a non-stick pan, fill with coconut mix, roll and serve warm or chilled.",bengali,vegetarian,snack,flour rice_flour coconut jaggery milk cardamom
Payesh,"gobindobhog rice, milk, sugar, bay leaf, cardamom","1/4 cup gobindobhog rice, 1 liter full cream milk, 1/2 cup sugar, 1 bay leaf, 1/4 tsp cardamom powder",Wash and soak rice for 15 minutes. Boil milk with bay leaf and reduce slightly. Add rice and cook slowly until soft and creamy. Add sugar and cardamom powder. Stir and serve warm or chilled.,bengali,vegetarian,dessert,gobindobhog_rice milk sugar bay_leaf cardamom
Langcha,"flour, khoya, sugar syrup, cardamom",Fry sweet rolls and soak in syrup.,Bengali,vegetarian,dessert,nan,flour khoya sugar_syrup cardamom
Sitabhog,"chhana, rice flour, sugar, saffron",Make sweet rice-like dessert with chhana.,Bengali,vegetarian,dessert,nan,chhana rice_flour sugar saffron
Baked Cheesecake,"cream cheese, sugar, eggs, biscuit base","400g cream cheese, 1 cup sugar, 3 eggs, 1 packet biscuit base",Mix cream cheese and sugar until smooth. Beat in eggs one by one. Pour onto biscuit base and bake at 160°C for 50 minutes. Cool and refrigerate for 4 hours before serving.,western,vegetarian,dessert,cream_cheese sugar egg biscuit_base
Chocolate Mousse,"dark chocolate, eggs, cream, sugar","200g dark chocolate, 4 eggs, 1 cup heavy cream, 1/4 cup sugar","Melt chocolate and let it cool. Whisk eggs with sugar, then mix with melted chocolate. Whip cream and fold into the chocolate mixture. Chill for 3 hours before serving.",western,vegetarian,dessert,dark_chocolate egg cream sugar
Tiramisu,"ladyfingers, mascarpone cheese, espresso, cocoa powder, sugar, eggs","1 pack ladyfingers, 500g mascarpone cheese, 1 cup espresso, 2 tbsp cocoa powder, 1/4 cup sugar, 2 eggs","Dip ladyfingers in espresso and layer in a dish. Mix mascarpone with sugar and eggs, then spread over the ladyfingers. Repeat the layers and dust with cocoa powder. Refrigerate for 6 hours.",italian,vegetarian,dessert,ladyfinger mascarpone_cheese espresso cocoa_powder sugar egg
Carrot Cake,"flour, carrots, sugar, eggs, butter, cream cheese, walnuts","1 cup flour, 2 cups grated carrots, 1 cup sugar, 2 eggs, 1/2 cup butter, 1/2 cup cream cheese, 1/4 cup walnuts",Mix all ingredients to form a batter. Bake at 180°C for 40 minutes. Cool and frost with cream cheese frosting and chopped walnuts.,western,vegetarian,dessert,flour carrot sugar egg butter cream_cheese walnut
Apple Pie,"apples, sugar, flour, butter, cinnamon","5 apples, 1 cup sugar, 2 cups flour, 1/2 cup butter, 1 tsp cinnamon","Slice apples and mix with sugar and cinnamon. Make dough with flour and butter, then roll out and place in a pie dish. Add apple mixture, top with dough, and bake at 200°C for 45 minutes.",western,vegetarian,dessert,apple sugar flour butter cinnamon
Rava Sheera,"semolina, sugar, ghee, cashews, cardamom","1 cup semolina, 1 cup sugar, 1/2 cup ghee, 10 cashews, 1/2 tsp cardamom","Roast semolina in ghee until golden. Add sugar and water, stir to form a smooth mixture. Garnish with cashews and cardamom, then serve warm.",indian,vegetarian,dessert,semolina sugar ghee cashew cardamom
Gulab Jamun,"milk powder, flour, baking soda, sugar, ghee, cardamom","1 cup milk powder, 1/4 cup flour, 1/4 tsp baking soda, 1/2 cup sugar, 1/4 cup ghee, 2 cardamom pods","Make dough with milk powder, flour, baking soda, and ghee. Shape into small balls and deep fry. Soak in sugar syrup with cardamom for 30 minutes before serving.",indian,vegetarian,dessert,milk_powder flour bake_soda sugar ghee cardamom
Kheer,"rice, milk, sugar, cardamom, almonds","1/4 cup rice, 2 cups milk, 1/4 cup sugar, 1/4 tsp cardamom, 10 almonds","Boil rice in milk, then add sugar and cardamom. Simmer until thickened, garnish with almonds, and serve hot or chilled.",indian,vegetarian,dessert,rice milk sugar cardamom almond
Ras Malai,"chana, milk, sugar, cardamom, saffron","200g chana, 1 liter milk, 1/2 cup sugar, 2 cardamom pods, saffron strands","Boil milk and reduce by half. Add sugar, cardamom, and saffron. Soak chana in the syrup for 15 minutes and serve chilled.",indian,vegetarian,dessert,chana milk sugar cardamom saffron
Shemai,"vermicelli, sugar, ghee, cardamom, milk","1 cup vermicelli, 1/2 cup sugar, 2 tbsp ghee, 1/2 tsp cardamom, 2 cups milk","Fry vermicelli in ghee until golden. Add milk and sugar, and cook until soft. Add cardamom and serve warm.",indian,vegetarian,dessert,vermicelli sugar ghee cardamom milk
Kulfi,"milk, sugar, cardamom, pistachio, saffron","2 cups milk, 1/2 cup sugar, 1/4 tsp cardamom, 1/4 cup pistachio, saffron strands","Boil milk until reduced by half. Add sugar, cardamom, pistachio, and saffron. Pour into molds and freeze for 6 hours.",indian,vegetarian,dessert,milk sugar cardamom pistachio saffron
Pavlova,"egg whites, sugar, cornstarch, vinegar, fruits","4 egg whites, 1 cup sugar, 1 tbsp cornstarch, 1 tsp vinegar, mixed fruits for topping",Whisk egg whites with sugar until stiff. Fold in cornstarch and vinegar. Bake at 120°C for 1 hour. Top with whipped cream and fresh fruits.,western,vegetarian,dessert,egg_white sugar cornstarch vinegar fruit
Banoffee Pie,"bananas, toffee, whipped cream, biscuit base","2 bananas, 1/2 cup toffee, 1 cup whipped cream, 1 packet biscuit base","Make base with crushed biscuits and butter. Layer with toffee, sliced bananas, and whipped cream. Chill for 2 hours before serving.",western,vegetarian,dessert,banana toffee whip_cream biscuit_base
Chocolate Cake,"flour, cocoa powder, sugar, eggs, butter, milk","2 cups flour, 1/2 cup cocoa powder, 1 cup sugar, 2 eggs, 1/2 cup butter, 1/2 cup milk",Mix all ingredients to make a batter. Bake at 180°C for 30 minutes. Frost with chocolate icing and serve.,western,vegetarian,dessert,flour cocoa_powder sugar egg butter milk
Choco Lava Cake,"chocolate, butter, flour, sugar, eggs, vanilla","200g dark chocolate, 1/2 cup butter, 1/2 cup flour, 1/4 cup sugar, 2 eggs, 1 tsp vanilla","Melt chocolate and butter together. Mix with eggs, sugar, and flour. Pour into ramekins, add a piece of chocolate in the center, and bake at 200°C for 10–12 minutes. Serve warm.",western,vegetarian,dessert,chocolate butter flour sugar egg vanilla
Crème Brûlée,"cream, sugar, eggs, vanilla","2 cups heavy cream, 1/2 cup sugar, 4 egg yolks, 1 tsp vanilla","Heat cream with sugar until warm. Whisk egg yolks, then combine with warm cream. Pour into ramekins and bake at 160°C for 40 minutes. Cool and sprinkle sugar on top. Caramelize the sugar with a torch.",western,vegetarian,dessert,cream sugar egg vanilla
Strawberry Shortcake,"flour, sugar, butter, cream, strawberries","1 cup flour, 1/4 cup sugar, 1/2 cup butter, 1 cup cream, 1 cup strawberries","Make dough with flour, sugar, and butter. Bake at 180°C for 15 minutes. Whip cream and slice strawberries. Layer shortcakes with cream and strawberries.",western,vegetarian,dessert,flour sugar butter cream strawberry
Lemon Meringue Pie,"lemon, sugar, eggs, butter, pie crust","1 lemon, 1/2 cup sugar, 3 eggs, 1/4 cup butter, 1 pie crust","Make lemon curd with lemon juice, sugar, eggs, and butter. Pour into pie crust and bake at 160°C for 25 minutes. Top with meringue and bake for an additional 10 minutes.",western,vegetarian,dessert,lemon sugar egg butter pie_crust
Omelette,"egg, salt, onion","2 eggs, 1/4 tsp salt, 1 small onion (chopped)","Whisk eggs with salt. Pour into a hot, greased pan. Add chopped onions and cook until set. Flip and cook the other side for 1-2 minutes.",western,vegetarian,breakfast,egg salt onion
Aloo Vorta,"potato, chili, oil","2 medium potatoes, 2 green chilies, 1 tbsp oil","Boil potatoes and mash them. Heat oil in a pan, fry chopped chilies, and add mashed potatoes. Mix well and serve.",bengali,vegetarian,lunch,potato chili pepper oil
Chicken Curry,"chicken, onion, chili, oil","500g chicken, 1 onion (chopped), 2 green chilies, 2 tbsp oil",Fry chopped onion and chilies in oil until golden. Add chicken and cook until browned. Add water and simmer until chicken is cooked through.,indian,non-vegetarian,dinner,chicken onion chili pepper oil
Sandwich,"bread, butter, chicken","2 slices bread, 2 tbsp butter, 1 cooked chicken breast (shredded)",Spread butter on bread slices. Place shredded chicken between the slices and toast until golden.,western,non-vegetarian,sandwich,bread butter chicken
Boiled Egg,"egg, water, salt","2 eggs, water for boiling, 1/4 tsp salt",Place eggs in water and bring to a boil. Reduce heat and simmer for 8-10 minutes. Peel and sprinkle with salt before serving.,western,vegetarian,snack,egg water salt
Potato Fry,"potato, salt, oil","3 medium potatoes, 1/2 tsp salt, 2 tbsp oil",Cut potatoes into thin slices. Heat oil in a pan and fry potatoes until crispy. Sprinkle with salt and serve.,indian,vegetarian,lunch,potato salt oil
Vegetable Soup,"carrot, onion, salt, water","1 carrot, 1 onion, 1/2 tsp salt, 2 cups water","Chop carrot and onion, boil them in water with salt. Simmer for 15 minutes until vegetables are soft. Blend if desired.",western,vegetarian,snack,carrot onion salt water
Chili Garlic Noodles,"noodles, garlic, chili, oil","1 packet noodles, 4 garlic cloves, 2 green chilies, 1 tbsp oil","Cook noodles as per packet instructions. In a pan, heat oil, sauté garlic and chilies, then toss in cooked noodles. Stir well and serve.",chinese,vegetarian,lunch,noodle garlic chili pepper oil
Rice Pudding,"rice, milk, sugar","1/4 cup rice, 2 cups milk, 1/4 cup sugar",Cook rice in milk and sugar until it thickens. Stir occasionally. Let it cool before serving.,western,vegetarian,dessert,rice milk sugar
Masala Papad,"papad, chili, oil","2 papads, 2 green chilies, 1 tbsp oil",Roast papads in the microwave or over an open flame. Top with chopped chilies and drizzle with oil.,indian,vegetarian,summer snack,papad chili pepper oil
Fried Rice,"rice, vegetable, soy sauce","1 cup cooked rice, 1/2 cup mixed vegetables, 1 tbsp soy sauce","Heat oil in a pan, add vegetables and stir-fry. Add cooked rice and soy sauce. Stir until combined and serve.",chinese,vegan,lunch,rice vegetable soy_sauce
French Toast,"bread, egg, sugar, butter","2 slices bread, 1 egg, 1 tbsp sugar, 1 tbsp butter",Whisk egg and sugar together. Dip bread slices into the egg mixture and cook in butter until golden on both sides.,western,vegetarian,breakfast,bread egg sugar butter
Potato Salad,"potato, salt, oil","3 medium potatoes, 1/4 tsp salt, 1 tbsp oil",Boil and chop potatoes. Toss with salt and a little oil. Chill for a refreshing salad.,western,vegetarian,snack,potato salt oil
Chapati,"flour, water, salt","1 cup flour, 1/4 tsp salt, 1/2 cup water","Knead flour, salt, and water into a dough. Roll into thin discs and cook on a hot tawa until golden brown.",indian,vegetarian,lunch,flour water salt
Tomato Soup,"tomato, garlic, salt, water","2 tomatoes, 3 garlic cloves, 1/2 tsp salt, 2 cups water",Blend tomatoes and garlic into a puree. Boil in water with salt for 10-15 minutes. Serve hot.,western,vegan,soup,tomato garlic salt water
Cheese Toast,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter",Butter the bread slices. Place cheese between them and toast until golden.,western,vegetarian,sandwich,bread cheese butter
Fruit Salad,"apple, banana, grapes, sugar","1 apple, 1 banana, 1/2 cup grapes, 1 tbsp sugar",Chop fruits and mix in a bowl. Add sugar and stir. Serve chilled.,western,vegetarian,snack,apple banana grape sugar
Kachori,"flour, salt, oil","1 cup flour, 1/4 tsp salt, 1 tbsp oil","Make dough with flour, salt, and water. Roll into discs, fill with a little spice mix, fold and deep fry until golden.",indian,vegetarian,snack,flour salt oil
Vermicelli Pudding,"vermicelli, milk, sugar, cardamom","1/2 cup vermicelli, 1 cup milk, 1/4 cup sugar, 1/4 tsp cardamom","Roast vermicelli in a little oil. Add milk, sugar, and cardamom. Simmer until thickened and serve warm.",indian,vegetarian,dessert,vermicelli milk sugar cardamom
Boiled Corn,"corn, salt, butter","1 corn cob, 1/2 tsp salt, 1 tbsp butter","Boil corn for 10-12 minutes, then brush with butter and sprinkle with salt.",western,vegetarian,snack,corn salt butter
Cucumber Salad,"cucumber, salt, lemon, sugar","1 cucumber, 1/2 tsp salt, 1 tbsp lemon juice, 1/2 tsp sugar","Slice cucumber and toss with salt, lemon juice, and sugar. Chill before serving.",western,vegan,snack,cucumber salt lemon sugar
Pasta Salad,"pasta, cucumber, tomato, olive oil, salt","1 cup pasta, 1/2 cucumber, 1 tomato, 1 tbsp olive oil, 1/4 tsp salt",Cook pasta and let it cool. Chop cucumber and tomato. Toss everything with olive oil and salt.,italian,vegetarian,snack,pasta cucumber tomato olive_oil salt
Scrambled Eggs,"egg, salt, butter","2 eggs, 1/4 tsp salt, 1 tbsp butter","Whisk eggs with salt. Heat butter in a pan, pour in eggs, and stir continuously until cooked.",western,vegetarian,breakfast,egg salt butter
Chana Chaat,"chickpeas, onion, tomato, chili, lemon","1 cup chickpeas, 1 onion, 1 tomato, 2 green chilies, 1 tbsp lemon juice","Boil chickpeas and mix with chopped onion, tomato, chilies, and lemon juice. Serve chilled.",indian,vegetarian,snack,chickpea onion tomato chili pepper lemon
Boiled Potatoes,"potato, salt, oil","3 medium potatoes, 1/2 tsp salt, 1 tbsp oil","Boil potatoes, peel and slice. Heat oil in a pan, fry potato slices and sprinkle salt. Serve hot.",indian,vegetarian,lunch,potato salt oil
Garlic Bread,"bread, garlic, butter, parsley","2 slices bread, 2 garlic cloves, 1 tbsp butter, 1/2 tsp parsley","Toast the bread. Melt butter, mix in garlic and parsley, and spread on the bread. Serve warm.",western,vegetarian,snack,bread garlic butter parsley
Instant Poha,"flattened rice, onion, mustard seeds, peas, oil, turmeric","1 cup poha, 1 onion, 1/2 tsp mustard seeds, 1/4 cup peas, 1 tbsp oil, 1/2 tsp turmeric","Heat oil in a pan, add mustard seeds and turmeric, then sauté onions and peas. Add poha, stir, and serve warm.",indian,vegetarian,breakfast,flatten_rice onion mustard_seed pea oil turmeric
Microwave Mug Cake,"flour, sugar, baking powder, cocoa powder, milk, butter","1/4 cup flour, 2 tbsp sugar, 1/4 tsp baking powder, 1 tbsp cocoa powder, 2 tbsp milk, 1 tbsp butter",Mix ingredients in a mug and microwave for 1 minute. Enjoy your single-serve cake.,western,vegetarian,dessert,flour sugar bake_powder cocoa_powder milk butter
Quick Roti,"flour, water, salt","1 cup flour, 1/4 tsp salt, water as needed","Knead flour, salt, and water into soft dough. Roll out dough into thin circles and cook on a hot tawa for 1 minute on each side.",indian,vegetarian,lunch,flour water salt
Boiled Masala Egg,"egg, salt, chili powder, oil","2 eggs, 1/2 tsp salt, 1/2 tsp chili powder, 1 tbsp oil","Boil eggs for 10 minutes. Peel and cut in half. Heat oil, sprinkle chili powder and salt, and sauté the boiled eggs for 2 minutes.",indian,vegetarian,snack,egg salt chili_powder oil
Microwave Oats,"oats, milk, sugar, cinnamon","1/2 cup oats, 1 cup milk, 1 tbsp sugar, 1/4 tsp cinnamon",Mix all ingredients in a microwave-safe bowl and microwave for 2 minutes. Stir and serve warm.,western,vegetarian,breakfast,oats milk sugar cinnamon
Quick Vegetable Pulao,"rice, mixed vegetables, oil, salt, garam masala","1 cup rice, 1/2 cup mixed vegetables, 1 tbsp oil, 1/2 tsp garam masala, salt to taste","Heat oil in a pan, add vegetables and sauté. Add rice, garam masala, salt, and water. Cook for 10-12 minutes until rice is done.",indian,vegetarian,lunch,rice mix_vegetable oil salt garam_masala
Instant Dosa,"rice flour, water, salt, oil","1 cup rice flour, 1/2 cup water, 1/4 tsp salt, 1 tbsp oil","Mix rice flour, water, and salt into a smooth batter. Heat a non-stick pan, spread the batter, and cook for 2 minutes on each side.",indian,vegetarian,breakfast,rice_flour water salt oil
Bread Pakora,"bread, potato, chickpea flour, salt, chili, oil","2 slices bread, 1 potato, 1/4 cup chickpea flour, 1/4 tsp salt, 1/2 tsp chili powder, oil for frying","Boil and mash potato, mix with salt and chili. Place filling between bread slices, dip in chickpea flour batter, and fry in oil for 2 minutes.",indian,vegetarian,snack,bread potato chickpea_flour salt chili pepper oil
Microwave Paneer Tikka,"paneer, yogurt, chili powder, turmeric, garam masala","200g paneer, 2 tbsp yogurt, 1/2 tsp chili powder, 1/4 tsp turmeric, 1/2 tsp garam masala","Mix yogurt and spices, coat paneer with the mixture, and microwave for 2-3 minutes until slightly golden.",indian,vegetarian,supper,paneer yogurt chili_powder turmeric garam_masala
Vegetable Salad,"cucumber, tomato, onion, lemon, salt","1 cucumber, 1 tomato, 1 onion, 1/2 lemon, salt to taste","Chop vegetables, toss together, squeeze lemon juice, sprinkle salt, and serve immediately.",western,vegan,snack,cucumber tomato onion lemon salt
Egg Bhurji,"egg, onion, tomato, chili, salt, oil","2 eggs, 1 onion, 1 tomato, 1 chili, 1/2 tsp salt, 1 tbsp oil","Heat oil, sauté onions, tomatoes, and chilies. Add beaten eggs and scramble until cooked. Serve hot.",indian,vegetarian,lunch,egg onion tomato chili pepper salt oil
Mango Lassi,"mango, yogurt, sugar","1 ripe mango, 1 cup yogurt, 1 tbsp sugar",Blend mango pulp with yogurt and sugar until smooth. Serve chilled.,indian,vegetarian,drink,mango yogurt sugar
Pasta in Creamy Sauce,"pasta, cream, cheese, garlic, salt, pepper","1 cup pasta, 1/4 cup cream, 1/2 cup cheese, 2 garlic cloves, salt and pepper to taste","Cook pasta as per instructions. In a pan, heat cream and sauté garlic. Add pasta, cheese, salt, and pepper. Toss and serve.",western,vegetarian,dinner,pasta cream cheese garlic salt pepper
Grilled Cheese Sandwich,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter the bread, place cheese slices between, and grill on both sides until golden brown.",western,vegetarian,sandwich,bread cheese butter
Potato Wedges,"potato, olive oil, salt, pepper","2 medium potatoes, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp pepper","Cut potatoes into wedges, toss with olive oil, salt, and pepper. Bake at 200°C for 20 minutes until crispy.",western,vegetarian,snack,potato olive_oil salt pepper
